entrez_id,other_id,gene_symbol,other_id_source,ensembl_id
1,A1B,A1BG,entrez_alias,ENSG00000121410
1,ABG,A1BG,entrez_alias,ENSG00000121410
1,GAB,A1BG,entrez_alias,ENSG00000121410
1,HYST2477,A1BG,entrez_alias,ENSG00000121410
1,A1BG,A1BG,entrez_alias,ENSG00000121410
2,A2MD,A2M,entrez_alias,ENSG00000175899
2,CPAMD5,A2M,entrez_alias,ENSG00000175899
2,FWP007,A2M,entrez_alias,ENSG00000175899
2,S863-7,A2M,entrez_alias,ENSG00000175899
2,A2M,A2M,entrez_alias,ENSG00000175899
9,AAC1,NAT1,entrez_alias,ENSG00000171428
9,AAC1,NAT1,entrez_alias,ENSG00000171428
9,AAC1,NAT1,entrez_alias,ENSG00000171428
9,AAC1,NAT1,entrez_alias,ENSG00000171428
9,MNAT,NAT1,entrez_alias,ENSG00000171428
9,MNAT,NAT1,entrez_alias,ENSG00000171428
9,MNAT,NAT1,entrez_alias,ENSG00000171428
9,MNAT,NAT1,entrez_alias,ENSG00000171428
9,NAT-1,NAT1,entrez_alias,ENSG00000171428
9,NAT-1,NAT1,entrez_alias,ENSG00000171428
9,NAT-1,NAT1,entrez_alias,ENSG00000171428
9,NAT-1,NAT1,entrez_alias,ENSG00000171428
9,NATI,NAT1,entrez_alias,ENSG00000171428
9,NATI,NAT1,entrez_alias,ENSG00000171428
9,NATI,NAT1,entrez_alias,ENSG00000171428
9,NATI,NAT1,entrez_alias,ENSG00000171428
9,NAT1,NAT1,entrez_alias,ENSG00000171428
9,NAT1,NAT1,entrez_alias,ENSG00000171428
9,NAT1,NAT1,entrez_alias,ENSG00000171428
9,NAT1,NAT1,entrez_alias,ENSG00000171428
10,AAC2,NAT2,entrez_alias,ENSG00000156006
10,NAT-2,NAT2,entrez_alias,ENSG00000156006
10,PNAT,NAT2,entrez_alias,ENSG00000156006
10,NAT2,NAT2,entrez_alias,ENSG00000156006
12,AACT,SERPINA3,entrez_alias,ENSG00000196136
12,ACT,SERPINA3,entrez_alias,ENSG00000196136
12,GIG24,SERPINA3,entrez_alias,ENSG00000196136
12,GIG25,SERPINA3,entrez_alias,ENSG00000196136
12,SERPINA3,SERPINA3,entrez_alias,ENSG00000196136
13,CES5A1,AADAC,entrez_alias,ENSG00000114771
13,DAC,AADAC,entrez_alias,ENSG00000114771
13,AADAC,AADAC,entrez_alias,ENSG00000114771
14,AAMP,AAMP,entrez_alias,ENSG00000127837
14,AAMP,AAMP,entrez_alias,ENSG00000127837
15,DSPS,AANAT,entrez_alias,ENSG00000129673
15,DSPS,AANAT,entrez_alias,ENSG00000129673
15,SNAT,AANAT,entrez_alias,ENSG00000129673
15,SNAT,AANAT,entrez_alias,ENSG00000129673
15,AANAT,AANAT,entrez_alias,ENSG00000129673
15,AANAT,AANAT,entrez_alias,ENSG00000129673
16,AARS,AARS1,entrez_alias,ENSG00000090861
16,AARS,AARS1,entrez_alias,ENSG00000090861
16,CMT2N,AARS1,entrez_alias,ENSG00000090861
16,CMT2N,AARS1,entrez_alias,ENSG00000090861
16,DEE29,AARS1,entrez_alias,ENSG00000090861
16,DEE29,AARS1,entrez_alias,ENSG00000090861
16,EIEE29,AARS1,entrez_alias,ENSG00000090861
16,EIEE29,AARS1,entrez_alias,ENSG00000090861
16,HDLS2,AARS1,entrez_alias,ENSG00000090861
16,HDLS2,AARS1,entrez_alias,ENSG00000090861
16,TTD8,AARS1,entrez_alias,ENSG00000090861
16,TTD8,AARS1,entrez_alias,ENSG00000090861
16,AARS1,AARS1,entrez_alias,ENSG00000090861
16,AARS1,AARS1,entrez_alias,ENSG00000090861
18,GABA-AT,ABAT,entrez_alias,ENSG00000183044
18,GABA-AT,ABAT,entrez_alias,ENSG00000183044
18,GABA-AT,ABAT,entrez_alias,ENSG00000183044
18,GABA-AT,ABAT,entrez_alias,ENSG00000183044
18,GABAT,ABAT,entrez_alias,ENSG00000183044
